,PROJECT.NAME,AGENCY.x,project.ZIP.x,project.CD.x,STATUS.x,artist.ZIP.x,project.START.date.x,FULL.1..amount.x,ART.contract...x,art.contract.START.x,COMMUNITY.MEETING.date.s..x,END.DATE.x,Hispanic..by.zip.code..2010,White..by.zip.code..2010,Black..by.zip.code..2010,Asian..by.zip.code..2010,Two.ore.more.races..by.zip.code..2010,American.Indian..by.zip.code..2010,Native.Hawaiin.or.Pacific.Islander...by.zip.code..2010,Age..25..by.zip.code..2010,Age.25.44..by.zip.code..2010,Age.45.64..by.zip.code..2010,Age..64..by.zip.code..2010,Median.Household.Income.1990.by.CD,Median.Household.Income.2000.by.CD,Median.Household.Income.2013.by.CD,X.x,X.1,X.y,project.ZIP.y,AGENCY.y,project.CD.y,STATUS.y,artist.ZIP.y,project.START.date.y,FULL.1..amount.y,ART.contract...y,art.contract.START.y,COMMUNITY.MEETING.date.s..y,END.DATE.y,Single.Family.Residences...City.Community,X2011,X2012,X2013,X2014,X2015,AGENCY,project.ZIP,project.CD,STATUS,artist.ZIP,project.START.date,FULL.1..amount,ART.contract..,art.contract.START,COMMUNITY.MEETING.date.s.,END.DATE,Year,Project.Neighborhood,Project.Area,Project.County,Artist.Neighborhood,Artist.Area,Artist.County,Local.Artist,Local.Artist2,Location.Type
92,La Tijera Blvd. Bridge over Centinela Creek,BIP,90045,11,completed,91741,9/23/2003,"$15,000 ","$10,000 ",N/A,12/7/2004,,"7,203","24,136","5,605","4,751","2,396",148,135,"13,999","12,598","10,006","4,425",NA,NA,"82,595.81",NA,,120,90045,BIP,11,completed,91741,9/23/2003,"$15,000 ","$10,000 ",N/A,12/7/2004,,Los Angeles (Westchester/LAX),"669,850","657,650","762,850","828,400","885,000",BIP,90045,11,completed,91741,9/23/2003,"$15,000 ","$10,000 ",N/A,12/7/2004,,,Los Angeles,Los Angeles,Los Angeles,Glendora,San Gabriel Valley,Los Angeles,City Artist,Local,Bridge/Road Infrastructure
93,LADOT Bus Maintenance & CNG Facility,DOT,90012,14,active,90292,4/22/2014,"$172,000 ","$141,040 ",7/1/2014,1/5/2015,,"8,426","8,432","4,260","13,696",870,186,56,"7,550","13,066","6,800","4,355",NA,NA,"38,032.33",NA,,34,90012,DOT,14,active,90292,4/22/2014,"$172,000 ","$141,040 ",7/1/2014,1/5/2015,,Los Angeles (Civic Center/Chinatown),"294,300","304,100","364,800","421,700","470,700",DOT,90012,14,active,90292,4/22/2014,"$172,000 ","$141,040 ",7/1/2014,1/5/2015,,,Los Angeles,Los Angeles,Los Angeles,Marina Del Rey,West Side,Los Angeles,City Artist,Local,Municipal Building
94,Lafayette Park Gymnasium/Community Center,Rec+Parks,90057,10,completed,90302,8/10/2005,"$35,000 ","$28,700 ",8/10/2005,4/25/2006,11/12/2010,"31,147","12,924","2,087","8,991","2,389",722,99,"16,274","17,476","8,449","4,003",NA,NA,"38,673.58",NA,,141,90057,Rec+Parks,10,completed,90302,8/10/2005,"$35,000 ","$28,700 ",8/10/2005,4/25/2006,11/12/2010,Los Angeles (Westlake),"380,050","415,850","487,900","540,850","612,900",Rec+Parks,90057,10,completed,90302,8/10/2005,"$35,000 ","$28,700 ",8/10/2005,4/25/2006,11/12/2010,2010,Los Angeles,Los Angeles,Los Angeles,Inglewood,South Bay,Los Angeles,City Artist,Local,Recreation
95,Lake View Terrace Branch Library,Library,91040,7,completed,90039,1/12/2001,"$20,000 ","$20,000 ",1/12/2001,7/11/01;1/17/02,8/6/2003,"4,969","15,392",272,"1,723",857,125,22,"5,646","5,969","6,789","2,891",NA,NA,"53,662.43",NA,,177,91040,Library,7,completed,90039,1/12/2001,"$20,000 ","$20,000 ",1/12/2001,7/11/01;1/17/02,8/6/2003,Los Angeles (Shadow Hills/Sunland),"366,100","357,950","412,350","464,150","500,750",Library,91040,7,completed,90039,1/12/2001,"$20,000 ","$20,000 ",1/12/2001,7/11/01;1/17/02,8/6/2003,2003,Sunland,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Library
96,LAPD Metropolitan Division [Old Rampart Renovation],Police,90026,13,completed,90039,3/6/2012,"$176,860 ","$145,000 ",3/6/2012,"9/25/2014, 11/19/2014",4/8/2016,"38,701","31,713","2,001","11,759","3,353",852,84,"21,064","27,881","15,027","6,102",NA,NA,"39,267.94",NA,,63,90026,Police,13,completed,90039,3/6/2012,"$176,860 ","$145,000 ",3/6/2012,"9/25/2014, 11/19/2014",4/8/2016,Los Angeles (Echo Park/Silver Lake),"487,100","527,000","636,400","671,850","711,750",Police,90026,13,completed,90039,3/6/2012,"$176,860 ","$145,000 ",3/6/2012,"9/25/2014, 11/19/2014",4/8/2016,2016,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Fire/Police Station
97,LAPD Scientific Investigation Division | Technical Lab,Police,90013,14,completed,90013,7/17/2012,"$42,960 ","$35,500 ",8/15/2012,,6/22/2015,"2,409","4,386","3,810","1,835",509,168,17,"1,217","5,130","4,319","1,463",NA,NA,"38,032.33",NA,,42,90013,Police,14,completed,90013,7/17/2012,"$42,960 ","$35,500 ",8/15/2012,,6/22/2015,Los Angeles (Downtown L.A./Historic Core),N/A,N/A,N/A,N/A,N/A,Police,90013,14,completed,90013,7/17/2012,"$42,960 ","$35,500 ",8/15/2012,,6/22/2015,2015,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Fire/Police Station
98,Laurel Canyon Blvd. Bridge over Tujunga Wash,BIP,91331,6,completed,91107,2/13/2003,"$7,150 ","$5,860 ",N/A,6/17/2002,,"7,934","24,118","1,540","6,036","1,705",208,58,"10,222","10,812","11,510","5,634",NA,NA,"47,493.67",NA,,198,91331,BIP,6,completed,91107,2/13/2003,"$7,150 ","$5,860 ",N/A,6/17/2002,,Los Angeles (Pacoima),"254,400","266,000","305,600","353,400","380,350",BIP,91331,6,completed,91107,2/13/2003,"$7,150 ","$5,860 ",N/A,6/17/2002,,,Pacoima,San Fernando Valley,Los Angeles,Pasadena,Pasadena,Los Angeles,City Artist,Local,Bridge/Road Infrastructure
99,Lincoln Heights Branch Library,Library,90031,1,completed,92651,10/1/1994,"$19,000 ","$19,000 ",10/1/1994,4/29/95; 9/14/95,5/31/1997,"26,643","14,012",525,"9,970","1,475",427,25,"14,671","12,878","8,814","4,206",NA,NA,"38,673.58",NA,,74,90031,Library,1,completed,92651,10/1/1994,"$19,000 ","$19,000 ",10/1/1994,4/29/95; 9/14/95,5/31/1997,Los Angeles (Lincoln Heights/Montecito Heights),"277,250","287,050","366,650","410,350","426,350",Library,90031,1,completed,92651,10/1/1994,"$19,000 ","$19,000 ",10/1/1994,4/29/95; 9/14/95,5/31/1997,1997,Los Angeles,Los Angeles,Los Angeles,Laguna Beach,Orange,Orange,Not Local,From California,Library
100,Little Tokyo Branch Library [#1],Library,90012,14,completed,90034,10/9/2001,"$20,000 ","$20,000 ",10/9/2001,10/27/01; 3/2/02,6/28/2005,"8,426","8,432","4,260","13,696",870,186,56,"7,550","13,066","6,800","4,355",NA,NA,"38,032.33",NA,,21,90012,Library,14,completed,90034,10/9/2001,"$20,000 ","$20,000 ",10/9/2001,10/27/01; 3/2/02,6/28/2005,Los Angeles (Civic Center/Chinatown),"294,300","304,100","364,800","421,700","470,700",Library,90012,14,completed,90034,10/9/2001,"$20,000 ","$20,000 ",10/9/2001,10/27/01; 3/2/02,6/28/2005,2005,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Library
101,Little Tokyo Branch Library [#2],Library,90012,14,completed,90013,10/1/2004,"$15,000 ","$15,000 ",10/1/2004,n/a,8/31/2005,"8,426","8,432","4,260","13,696",870,186,56,"7,550","13,066","6,800","4,355",NA,NA,"38,032.33",NA,,27,90012,Library,14,completed,90013,10/1/2004,"$15,000 ","$15,000 ",10/1/2004,n/a,8/31/2005,Los Angeles (Civic Center/Chinatown),"294,300","304,100","364,800","421,700","470,700",Library,90012,14,completed,90013,10/1/2004,"$15,000 ","$15,000 ",10/1/2004,n/a,8/31/2005,2005,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Library
102,Los Angeles Riverfront Park,Rec+Parks,91604,2,completed,90086,11/8/2002,"$58,800 ","$54,680 ",3/24/2003,8/20/2003,4/2/2009,"2,471","24,008","1,194","1,946","1,153",80,26,"6,491","11,667","8,114","3,901",NA,NA,"38,673.58",NA,,252,91604,Rec+Parks,2,completed,90086,11/8/2002,"$58,800 ","$54,680 ",3/24/2003,8/20/2003,4/2/2009,Los Angeles (Studio City),"887,750","927,300","1,088,350","1,215,700","1,297,900",Rec+Parks,91604,2,completed,90086,11/8/2002,"$58,800 ","$54,680 ",3/24/2003,8/20/2003,4/2/2009,2009,Studio City,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Recreation
103,Los Angeles Zoo [#1] (revisited),Zoo,90027,4,completed,90063,3/20/2002,"$297,170 ","$243,680 ",4/15/2002,11/26/06; 07/31/03,9/7/2004,"9,569","31,535","1,412","5,993","2,056",203,36,"9,309","19,757","11,304","6,277",NA,NA,"58,888.16",NA,,68,90027,Zoo,4,completed,90063,3/20/2002,"$297,170 ","$243,680 ",4/15/2002,11/26/06; 07/31/03,9/7/2004,Los Angeles (Griffith Park/Los Feliz),"982,500","1,016,100","1,147,250","1,317,600","1,404,350",Zoo,90027,4,completed,90063,3/20/2002,"$297,170 ","$243,680 ",4/15/2002,11/26/06; 07/31/03,9/7/2004,2004,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Recreation
104,Los Feliz Bikeway Bridge,BIP,90039,4,completed,92104,8/1/1999,"$10,000 ","$9,000 ",8/1/1999,N/A,1/23/2002,"11,674","16,118",647,"5,239","1,472",185,41,"7,148","11,270","7,269","3,759",NA,NA,"58,888.16",NA,,99,90039,BIP,4,completed,92104,8/1/1999,"$10,000 ","$9,000 ",8/1/1999,N/A,1/23/2002,Los Angeles (Atwater Village),"559,000","573,450","670,950","714,750","775,050",BIP,90039,4,completed,92104,8/1/1999,"$10,000 ","$9,000 ",8/1/1999,N/A,1/23/2002,2002,Los Angeles,Los Angeles,Los Angeles,San Diego,San Diego,San Diego,Not Local,From California,Bridge/Road Infrastructure
105,Los Feliz Branch Library,Library,90027,4,completed,90232,1/1/1996,"$28,000 ","$28,000 ",1/1/1996,04/28/97; 12/19/97,6/1/1999,"9,567","31,535","1,412","5,993","2,056",203,36,"9,309","19,757","11,304","6,277",NA,NA,"58,888.16",NA,,66,90027,Library,4,completed,90232,1/1/1996,"$28,000 ","$28,000 ",1/1/1996,04/28/97; 12/19/97,6/1/1999,Los Angeles (Griffith Park/Los Feliz),"982,500","1,016,100","1,147,250","1,317,600","1,404,350",Library,90027,4,completed,90232,1/1/1996,"$28,000 ","$28,000 ",1/1/1996,04/28/97; 12/19/97,6/1/1999,1999,Los Angeles,Los Angeles,Los Angeles,Culver City,West Side,Los Angeles,City Artist,Local,Library
106,Malabar Branch Library,Library,90033,14,completed,91941,2/1/1995,"$13,500 ","$13,500 ",2/1/1995,4/27/1996,3/18/1997,"44,703","22,458",926,"2,124","1,938",538,23,"21,307","15,470","9,045","4,423",NA,NA,"38,032.33",NA,,83,90033,Library,14,completed,91941,2/1/1995,"$13,500 ","$13,500 ",2/1/1995,4/27/1996,3/18/1997,Los Angeles (Boyle Heights),"205,350","210,500","249,200","319,500","364,500",Library,90033,14,completed,91941,2/1/1995,"$13,500 ","$13,500 ",2/1/1995,4/27/1996,3/18/1997,1997,Los Angeles,Los Angeles,Los Angeles,La Mesa,San Diego,San Diego,Not Local,From California,Library
107,Mar Vista Fire Station No. 62,Fire,90066,11,completed,92502,11/4/2003,"$58,434 ","$50,000 ",11/4/2003,6/8/2004,7/13/2007,"16,768","34,522","2,120","7,979","2,894",447,146,"14,287","22,340","13,703","6,881",NA,NA,"82,595.81",NA,,156,90066,Fire,11,completed,92502,11/4/2003,"$58,434 ","$50,000 ",11/4/2003,6/8/2004,7/13/2007,Los Angeles (Mar Vista),"715,750","737,600","889,850","989,850","1,124,000",Fire,90066,11,completed,92502,11/4/2003,"$58,434 ","$50,000 ",11/4/2003,6/8/2004,7/13/2007,2007,Los Angeles,Los Angeles,Los Angeles,Riverside,Riverside,Riverside,Not Local,From California,Fire/Police Station
108,Mar Vista Library,Library,90066,11,completed,90086,6/23/2000,"$20,000 ","$20,000 ",6/23/2000,11/16/2000,12/4/2002,"16,768","34,522","2,120","7,979","2,894",447,146,"14,287","22,340","13,703","6,881",NA,NA,"82,595.81",NA,,155,90066,Library,11,completed,90086,6/23/2000,"$20,000 ","$20,000 ",6/23/2000,11/16/2000,12/4/2002,Los Angeles (Mar Vista),"715,750","737,600","889,850","989,850","1,124,000",Library,90066,11,completed,90086,6/23/2000,"$20,000 ","$20,000 ",6/23/2000,11/16/2000,12/4/2002,2002,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Library
109,Mark Twain Branch Library,Library,90003,8,completed,90305,5/11/2000,"$20,000 ","$20,000 ",5/11/2000,7/31/2000,1/13/2003,"49,386","19,878","16,181",149,"2,516",516,59,"31,725","21,432","11,725","3,418",NA,NA,"30,989.52",NA,,3,90003,Library,8,completed,90305,5/11/2000,"$20,000 ","$20,000 ",5/11/2000,7/31/2000,1/13/2003,Los Angeles (South L.A.),"168,600","181,100","225,050","272,100","296,000",Library,90003,8,completed,90305,5/11/2000,"$20,000 ","$20,000 ",5/11/2000,7/31/2000,1/13/2003,2003,Los Angeles,Los Angeles,Los Angeles,Inglewood,South Bay,Los Angeles,City Artist,Local,Library
110,Martin Luther King Therapeutic Center,Rec+Parks,90062,8,completed,90034,7/1/1999,"$8,000 ","$8,000 ",7/1/1999,,8/1/2003,"19,373","6,955","12,420",387,"1,473",275,28,"13,095","10,550","7,469","2,957",NA,NA,"30,989.52",NA,,145,90062,Rec+Parks,8,completed,90034,7/1/1999,"$8,000 ","$8,000 ",7/1/1999,,8/1/2003,Los Angeles (South L.A.),"229,500","238,550","293,500","357,500","380,650",Rec+Parks,90062,8,completed,90034,7/1/1999,"$8,000 ","$8,000 ",7/1/1999,,8/1/2003,2003,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Adult/Childcare and Development
111,Mason Childcare Center,Rec+Parks,91311,12,completed,91107,11/18/2003,"$15,000 ","$15,000 ",11/18/2003,3/10/2004,10/4/2005,"7,934","24,118","1,540","6,036","1,705",208,58,"10,222","10,812","11,510","5,634",NA,NA,"66,792.32",NA,,192,91311,Rec+Parks,12,completed,91107,11/18/2003,"$15,000 ","$15,000 ",11/18/2003,3/10/2004,10/4/2005,Los Angeles (Chatsworth),"451,200","448,050","509,150","582,800","601,550",Rec+Parks,91311,12,completed,91107,11/18/2003,"$15,000 ","$15,000 ",11/18/2003,3/10/2004,10/4/2005,2005,Chatsworth,San Fernando Valley,Los Angeles,Pasadena,Pasadena,Los Angeles,City Artist,Local,Adult/Childcare and Development
112,Memorial Branch Library,Library,90019,4,completed,90042,10/1/1994,"$19,000 ","$19,000 ",10/1/1994,5/15/1995,4/1/1996,"29,701","19,321","15,249","10,149","3,108",577,59,"20,339","23,532","15,899","7,088",NA,NA,"58,888.16",NA,,53,90019,Library,4,completed,90042,10/1/1994,"$19,000 ","$19,000 ",10/1/1994,5/15/1995,4/1/1996,Los Angeles (Mid City/Country Club Park),"568,700","582,500","710,400","810,100","864,950",Library,90019,4,completed,90042,10/1/1994,"$19,000 ","$19,000 ",10/1/1994,5/15/1995,4/1/1996,1996,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Library
113,Metro Detention Center | Site-Specific Artwork,Police,90012,14,completed,10011,3/30/2004,"$241,315 ","$213,830 ",3/30/2004,,2/26/2009,"8,426","8,432","4,260","13,696",870,186,56,"7,550","13,066","6,800","4,355",NA,NA,"38,032.33",NA,,32,90012,Police,14,completed,10011,3/30/2004,"$241,315 ","$213,830 ",3/30/2004,,2/26/2009,Los Angeles (Civic Center/Chinatown),"294,300","304,100","364,800","421,700","470,700",Police,90012,14,completed,10011,3/30/2004,"$241,315 ","$213,830 ",3/30/2004,,2/26/2009,2009,Los Angeles,Los Angeles,Los Angeles,New York,New York,New York,Not Local,Out of State,Fire/Police Station
114,Metro Detention Center | TBD,Police,90012,14,in development,tbd,tbd,"$510,503 ","$418,613 ",,,,"8,426","8,432","4,260","13,696",874,186,56,"7,550","13,066","6,800","4,355",NA,NA,"38,032.33",NA,,22,90012,Police,14,in development,tbd,tbd,"$510,503 ","$418,613 ",,,,Los Angeles (Civic Center/Chinatown),"294,300","304,100","364,800","421,700","470,700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,Metro Transport Division / Main Street Parking [MTD/MSP],Police,90013,14,in development,tbd,tbd,"$343,984 ","$282,067 ",,,,"2,409","4,386","3,810","1,835",509,168,17,"1,217","5,130","4,319","1,464",NA,NA,"38,032.33",NA,,43,90013,Police,14,in development,tbd,tbd,"$343,984 ","$282,067 ",,,,Los Angeles (Downtown L.A./Historic Core),N/A,N/A,N/A,N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,Metropolitan Communications Dispatch Center,Police,90012,14,completed,90066,7/15/1998,"$150,000 ","$115,500 ",9/1/1998,"5/18/99, 5/27/99",7/25/2002,"8,426","8,432","4,260","13,696",870,186,56,"7,550","13,066","6,800","4,355",NA,NA,"38,032.33",NA,,40,90012,Police,14,completed,90066,7/15/1998,"$150,000 ","$115,500 ",9/1/1998,"5/18/99, 5/27/99",7/25/2002,Los Angeles (Civic Center/Chinatown),"294,300","304,100","364,800","421,700","470,700",Police,90012,14,completed,90066,7/15/1998,"$150,000 ","$115,500 ",9/1/1998,"5/18/99, 5/27/99",7/25/2002,2002,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Fire/Police Station
117,Mid-Valley Branch Regional Branch Library,Library,91343,12,completed,94805,2/1/1995,"$27,500 ","$27,500 ",2/1/1995,4/5/1995,9/1/1995,"35,438","28,519","2,641","8,563","2,743",420,109,"23,383","20,156","13,385","5,463",NA,NA,"66,792.32",NA,,209,91343,Library,12,completed,94805,2/1/1995,"$27,500 ","$27,500 ",2/1/1995,4/5/1995,9/1/1995,Los Angeles (North Hills),"357,650","356,700","420,400","466,250","489,650",Library,91343,12,completed,94805,2/1/1995,"$27,500 ","$27,500 ",2/1/1995,4/5/1995,9/1/1995,1995,North Hills,San Fernando Valley,Los Angeles,Richmond,Contra Costa,Contra Costa,Not Local,From California,Library
118,Mid-Valley Intergenerational Center,Rec+Parks,91402,6,active,90008,4/4/2013,"$11,809 ","$9,683 ",4/4/2013,,,"50,328","28,209","2,166","9,877","3,037",491,78,"28,819","24,018","14,224","5,073",NA,NA,"47,493.67",NA,,232,91402,Rec+Parks,6,active,90008,4/4/2013,"$11,809 ","$9,683 ",4/4/2013,,,Los Angeles (Panorama City),"276,250","274,500","337,950","367,650","388,600",Rec+Parks,91402,6,active,90008,4/4/2013,"$11,809 ","$9,683 ",4/4/2013,,,,Panorama City,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Adult/Childcare and Development
119,Mission Hills Police Station [#1],Police,91345,7,completed,90042,1/29/2001,"$107,500 ","$87,125 ",1/29/2001,5/7/2001,3/29/2005,"12,329","9,981",673,"1,750",805,190,40,"6,538","5,703","4,398","2,532",NA,NA,"53,662.43",NA,,215,91345,Police,7,completed,90042,1/29/2001,"$107,500 ","$87,125 ",1/29/2001,5/7/2001,3/29/2005,Los Angeles (Mission Hills),"302,900","301,000","364,650","411,300","431,650",Police,91345,7,completed,90042,1/29/2001,"$107,500 ","$87,125 ",1/29/2001,5/7/2001,3/29/2005,2005,Mission Hills,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Fire/Police Station
120,Mission Hills Police Station [#2],Police,91345,7,completed,90026,11/7/2003,"$50,000 ","$50,000 ",11/7/2003,"10/26/4, 02/14/05, 02/07/06",8/17/2007,"12,329","9,981",673,"1,750",805,190,40,"6,538","5,703","4,398","2,532",NA,NA,"53,662.43",NA,,212,91345,Police,7,completed,90026,11/7/2003,"$50,000 ","$50,000 ",11/7/2003,"10/26/4, 02/14/05, 02/07/06",8/17/2007,Los Angeles (Mission Hills),"302,900","301,000","364,650","411,300","431,650",Police,91345,7,completed,90026,11/7/2003,"$50,000 ","$50,000 ",11/7/2003,"10/26/4, 02/14/05, 02/07/06",8/17/2007,2007,Mission Hills,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Fire/Police Station
121,Newton Police Station,Police,90011,9,completed,92866,9/16/1991,"$182,000 ","$182,000 ",12/1/1994,,3/1/1997,"92,879","35,138","9,764",591,"4,384","1,219",37,"49,755","35,378","16,922","4,783",NA,NA,"28,883.41",NA,,17,90011,Police,9,completed,92866,9/16/1991,"$182,000 ","$182,000 ",12/1/1994,,3/1/1997,Los Angeles (South L.A.),"178,800","194,250","243,050","287,950","328,000",Police,90011,9,completed,92866,9/16/1991,"$182,000 ","$182,000 ",12/1/1994,,3/1/1997,1997,Los Angeles,Los Angeles,Los Angeles,Orange,Orange,Orange,Not Local,From California,Fire/Police Station
122,North Broadway Sidehill Viaduct,BIP,90012,1,completed,92870,8/22/2002,"$22,000 ","$18,040 ",N/A,11/7/2002,,"8,426","8,432","4,260","13,696",870,186,56,"7,550","13,066","6,800","4,355",NA,NA,"38,673.58",NA,,24,90012,BIP,1,completed,92870,8/22/2002,"$22,000 ","$18,040 ",N/A,11/7/2002,,Los Angeles (Civic Center/Chinatown),"294,300","304,100","364,800","421,700","470,700",BIP,90012,1,completed,92870,8/22/2002,"$22,000 ","$18,040 ",N/A,11/7/2002,,,Los Angeles,Los Angeles,Los Angeles,Placentia,Orange,Orange,Not Local,From California,Bridge/Road Infrastructure
123,North Central Animal Care & Services Center,Animal Services,90031,1,completed,90058,11/14/2002,"$98,000 ","$80,360 ",11/14/2002,10/11/2005,2/28/2007,"26,643","14,012",525,"9,970","1,475",427,25,"14,671","12,878","8,814","4,206",NA,NA,"38,673.58",NA,,73,90031,Animal Services,1,completed,90058,11/14/2002,"$98,000 ","$80,360 ",11/14/2002,10/11/2005,2/28/2007,Los Angeles (Lincoln Heights/Montecito Heights),"277,250","287,050","366,650","410,350","426,350",Animal Services,90031,1,completed,90058,11/14/2002,"$98,000 ","$80,360 ",11/14/2002,10/11/2005,2/28/2007,2007,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Animal Services
124,North Hollywood Police Station,Police,91601,2,completed,90731,4/1/1992,"$182,000 ","$152,000 ",12/1/1994,,3/1/1997,"16,291","22,025","2,899","2,493","1,910",283,57,"11,214","16,457","7,953","2,739",NA,NA,"38,673.58",NA,,251,91601,Police,2,completed,90731,4/1/1992,"$182,000 ","$152,000 ",12/1/1994,,3/1/1997,Los Angeles (North Hollywood),"431,950","443,550","540,400","586,350","603,700",Police,91601,2,completed,90731,4/1/1992,"$182,000 ","$152,000 ",12/1/1994,,3/1/1997,1997,North Hollywood,San Fernando Valley,Los Angeles,San Pedro,LA Harbor Area,Los Angeles,City Artist,Local,Fire/Police Station
125,North Hollywood Regional Branch Library,Library,91601,2,completed,90035,7/26/2001,"$20,000 ","$20,000 ",7/26/2001,8/16/2001,11/18/2002,"16,291","22,025","2,899","2,493","1,910",283,57,"11,214","16,457","7,953","2,739",NA,NA,"38,673.58",NA,,250,91601,Library,2,completed,90035,7/26/2001,"$20,000 ","$20,000 ",7/26/2001,8/16/2001,11/18/2002,Los Angeles (North Hollywood),"431,950","443,550","540,400","586,350","603,700",Library,91601,2,completed,90035,7/26/2001,"$20,000 ","$20,000 ",7/26/2001,8/16/2001,11/18/2002,2002,North Hollywood,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Library
126,Northeast Valley Animal Care & Services Center,Animal Services,91345,7,completed,90230,7/10/2003,"$113,800 ","$93,300 ",7/10/2003,10/11/2005,4/18/2007,"12,329","9,981",673,"1,750",805,190,40,"6,538","5,703","4,398","2,532",NA,NA,"53,662.43",NA,,214,91345,Animal Services,7,completed,90230,7/10/2003,"$113,800 ","$93,300 ",7/10/2003,10/11/2005,4/18/2007,Los Angeles (Mission Hills),"302,900","301,000","364,650","411,300","431,650",Animal Services,91345,7,completed,90230,7/10/2003,"$113,800 ","$93,300 ",7/10/2003,10/11/2005,4/18/2007,2007,Mission Hills,San Fernando Valley,Los Angeles,Culver City,West Side,Los Angeles,City Artist,Local,Animal Services
127,Northridge Branch Library,Library,91325,12,completed,90031,2/13/2001,"$20,000 ","$20,000 ",2/13/2001,4/9/2001,12/30/2003,"10,429","18,721","1,849","5,480","1,684",185,82,"11,335","9,928","8,049","4,219",NA,NA,"66,792.32",NA,,194,91325,Library,12,completed,90031,2/13/2001,"$20,000 ","$20,000 ",2/13/2001,4/9/2001,12/30/2003,Los Angeles (Northridge),"480,550","476,200","567,650","640,100","653,100",Library,91325,12,completed,90031,2/13/2001,"$20,000 ","$20,000 ",2/13/2001,4/9/2001,12/30/2003,2003,Northridge,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Library
128,Northridge Fire Station No. 87,Fire,91343,12,completed,10012,7/30/2003,"$58,434 ","$50,000 ",7/30/2003,2/12/2004,,"35,438","28,519","2,641","8,563","2,743",420,109,"23,383","20,156","13,385","5,463",NA,NA,"66,792.32",NA,,210,91343,Fire,12,completed,10012,7/30/2003,"$58,434 ","$50,000 ",7/30/2003,2/12/2004,,Los Angeles (North Hills),"357,650","356,700","420,400","466,250","489,650",Fire,91343,12,completed,10012,7/30/2003,"$58,434 ","$50,000 ",7/30/2003,2/12/2004,,,North Hills,San Fernando Valley,Los Angeles,New York,New York,New York,Not Local,Out of State,Fire/Police Station
129,Northridge Metrolink Station,DOT,91324,12,completed,92870,10/22/1997,"$26,000 ","$22,400 ",9/1/1997,7/16/1998,6/28/2000,"10,010","15,437","1,348","4,879","1,345",130,43,"9,542","8,500","6,966","3,662",NA,NA,"66,792.32",NA,,193,91324,DOT,12,completed,92870,10/22/1997,"$26,000 ","$22,400 ",9/1/1997,7/16/1998,6/28/2000,Los Angeles (Northridge),"401,600","390,400","460,900","508,450","542,450",DOT,91324,12,completed,92870,10/22/1997,"$26,000 ","$22,400 ",9/1/1997,7/16/1998,6/28/2000,2000,Northridge,San Fernando Valley,Los Angeles,Placentia,Orange,Orange,Not Local,From California,Public Transport
