,PROJECT.NAME,AGENCY.x,project.ZIP.x,project.CD.x,STATUS.x,artist.ZIP.x,project.START.date.x,FULL.1..amount.x,ART.contract...x,art.contract.START.x,COMMUNITY.MEETING.date.s..x,END.DATE.x,Hispanic..by.zip.code..2010,White..by.zip.code..2010,Black..by.zip.code..2010,Asian..by.zip.code..2010,Two.ore.more.races..by.zip.code..2010,American.Indian..by.zip.code..2010,Native.Hawaiin.or.Pacific.Islander...by.zip.code..2010,Age..25..by.zip.code..2010,Age.25.44..by.zip.code..2010,Age.45.64..by.zip.code..2010,Age..64..by.zip.code..2010,Median.Household.Income.1990.by.CD,Median.Household.Income.2000.by.CD,Median.Household.Income.2013.by.CD,X.x,X.1,X.y,project.ZIP.y,AGENCY.y,project.CD.y,STATUS.y,artist.ZIP.y,project.START.date.y,FULL.1..amount.y,ART.contract...y,art.contract.START.y,COMMUNITY.MEETING.date.s..y,END.DATE.y,Single.Family.Residences...City.Community,X2011,X2012,X2013,X2014,X2015,AGENCY,project.ZIP,project.CD,STATUS,artist.ZIP,project.START.date,FULL.1..amount,ART.contract..,art.contract.START,COMMUNITY.MEETING.date.s.,END.DATE,Year,Project.Neighborhood,Project.Area,Project.County,Artist.Neighborhood,Artist.Area,Artist.County,Local.Artist,Local.Artist2,Location.Type
43,Delano Park Recreation Center,Rec+Parks,91411,6,completed,90808,2/10/2000,"$21,000 ","$17,000 ",2/10/2000,10/26/2000,5/20/2005,"12,699","14,277","1,403","1,591","1,160",196,25,"8,059","9,691","5,448","2,260",NA,NA,"47,493.67",NA,,243,91411,Rec+Parks,6,completed,90808,2/10/2000,"$21,000 ","$17,000 ",2/10/2000,10/26/2000,5/20/2005,Los Angeles (Van Nuys),"448,700","457,650","549,050","606,100","619,050",Rec+Parks,91411,6,completed,90808,2/10/2000,"$21,000 ","$17,000 ",2/10/2000,10/26/2000,5/20/2005,2005,Van Nuys,San Fernando Valley,Los Angeles,Long Beach,Long Beach,Los Angeles,City Artist,Local,Recreation
44,Downey Child Care Center,Rec+Parks,90012,1,completed,90046,1/1/1999,"$9,100 ","$7,600 ",1/1/1999,4/8/1999,5/6/1999,"8,426","8,432","4,260","13,696",870,186,56,"7,550","13,066","6,800","4,355",NA,NA,"38,673.58",NA,,35,90012,Rec+Parks,1,completed,90046,1/1/1999,"$9,100 ","$7,600 ",1/1/1999,4/8/1999,5/6/1999,Los Angeles (Civic Center/Chinatown),"294,300","304,100","364,800","421,700","470,700",Rec+Parks,90012,1,completed,90046,1/1/1999,"$9,100 ","$7,600 ",1/1/1999,4/8/1999,5/6/1999,1999,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Adult/Childcare and Development
45,Downey Park Swimming Pool,Rec+Parks,90031,1,completed,90058,10/1/2009,"$25,000 ","$20,500 ",10/1/2009,none required,9/30/2012,"26,643","14,012",525,"9,970","1,475",427,25,"14,671","12,878","8,814","4,206",NA,NA,"38,673.58",NA,,71,90031,Rec+Parks,1,completed,90058,10/1/2009,"$25,000 ","$20,500 ",10/1/2009,none required,9/30/2012,Los Angeles (Lincoln Heights/Montecito Heights),"277,250","287,050","366,650","410,350","426,350",Rec+Parks,90031,1,completed,90058,10/1/2009,"$25,000 ","$20,500 ",10/1/2009,none required,9/30/2012,2012,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Recreation
46,DWP Perimeter Picket Fence,DWP,90012,1,completed,90063,1/1/1994,"$99,500 ","$99,500 ",1/1/1994,,4/1/1996,"8,426","8,432","4,260","13,696",870,186,56,"7,550","13,066","6,800","4,355",NA,NA,"38,673.58",NA,,41,90012,DWP,1,completed,90063,1/1/1994,"$99,500 ","$99,500 ",1/1/1994,,4/1/1996,Los Angeles (Civic Center/Chinatown),"294,300","304,100","364,800","421,700","470,700",DWP,90012,1,completed,90063,1/1/1994,"$99,500 ","$99,500 ",1/1/1994,,4/1/1996,1996,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,City Infrastructure
47,Eagle Rock Child Care Center,Rec+Parks,90041,14,completed,90266,7/16/1999,"$9,100 ","$7,600 ",11/23/1998,3/9/1999,4/15/2002,"9,869","13,477",612,"7,778","1,447",204,29,"8,577","8,594","7,269","3,900",NA,NA,"38,032.33",NA,,101,90041,Rec+Parks,14,completed,90266,7/16/1999,"$9,100 ","$7,600 ",11/23/1998,3/9/1999,4/15/2002,Los Angeles (Eagle Rock),"470,000","484,750","590,450","648,250","691,050",Rec+Parks,90041,14,completed,90266,7/16/1999,"$9,100 ","$7,600 ",11/23/1998,3/9/1999,4/15/2002,2002,Los Angeles,Los Angeles,Los Angeles,Manhattan Beach,0,Los Angeles,City Artist,Local,Adult/Childcare and Development
48,East Valley Animal Care & Service Center,Animal Services,91405,6,completed,90024,1/30/2003,"$124,500 ","$102,000 ",1/30/2003,8/13/2003,2/6/2007,"30,942","26,715","2,649","4,119","2,459",329,79,"18,942","18,320","11,364","4,351",NA,NA,"47,493.67",NA,,239,91405,Animal Services,6,completed,90024,1/30/2003,"$124,500 ","$102,000 ",1/30/2003,8/13/2003,2/6/2007,Los Angeles (Van Nuys),"322,900","330,450","394,500","451,300","471,300",Animal Services,91405,6,completed,90024,1/30/2003,"$124,500 ","$102,000 ",1/30/2003,8/13/2003,2/6/2007,2007,Van Nuys,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Animal Services
49,East Valley Solid Resources [#1],Public Works,91352,6,completed,90042,2/1/2000,"$178,000 ","$73,000 ",7/21/2000,11/6/2000,6/9/2004,"35,314","24,825",861,"3,034","1,917",401,89,"18,729","15,495","10,944","4,310",NA,NA,"47,493.67",NA,,216,91352,Public Works,6,completed,90042,2/1/2000,"$178,000 ","$73,000 ",7/21/2000,11/6/2000,6/9/2004,Los Angeles (Sun Valley),"286,850","289,450","342,350","391,850","416,300",Public Works,91352,6,completed,90042,2/1/2000,"$178,000 ","$73,000 ",7/21/2000,11/6/2000,6/9/2004,2004,Sun Valley,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,City Infrastructure
50,East Valley Solid Resources [#2],Public Works,91352,6,completed,90802,2/1/2000,"$178,000 ","$73,000 ",7/21/2000,11/6/2000,11/26/2003,"35,314","24,825",861,"3,034","1,917",401,89,"18,729","15,495","10,944","4,310",NA,NA,"47,493.67",NA,,218,91352,Public Works,6,completed,90802,2/1/2000,"$178,000 ","$73,000 ",7/21/2000,11/6/2000,11/26/2003,Los Angeles (Sun Valley),"286,850","289,450","342,350","391,850","416,300",Public Works,91352,6,completed,90802,2/1/2000,"$178,000 ","$73,000 ",7/21/2000,11/6/2000,11/26/2003,2003,Sun Valley,San Fernando Valley,Los Angeles,Long Beach,Long Beach,Los Angeles,City Artist,Local,City Infrastructure
51,Echo Park Childcare Center,Rec+Parks,90026,1,completed,90230,12/16/1999,"$7,600 ","$7,600 ",12/28/1999,8/22/2000,4/14/2003,"38,701","31,713","2,001","11,759","3,353",852,84,"21,064","27,881","15,027","6,102",NA,NA,"38,673.58",NA,,64,90026,Rec+Parks,1,completed,90230,12/16/1999,"$7,600 ","$7,600 ",12/28/1999,8/22/2000,4/14/2003,Los Angeles (Echo Park/Silver Lake),"487,100","527,000","636,400","671,850","711,750",Rec+Parks,90026,1,completed,90230,12/16/1999,"$7,600 ","$7,600 ",12/28/1999,8/22/2000,4/14/2003,2003,Los Angeles,Los Angeles,Los Angeles,Culver City,West Side,Los Angeles,City Artist,Local,Adult/Childcare and Development
52,Edendale Branch Library,Library,90026,13,completed,90026,5/24/2001,"$20,000 ","$20,000 ",5/24/2001,7/17/2001,2/8/2005,"38,701","31,713","2,001","11,759","3,353",852,84,"21,064","27,881","15,027","6,102",NA,NA,"39,267.94",NA,,65,90026,Library,13,completed,90026,5/24/2001,"$20,000 ","$20,000 ",5/24/2001,7/17/2001,2/8/2005,Los Angeles (Echo Park/Silver Lake),"487,100","527,000","636,400","671,850","711,750",Library,90026,13,completed,90026,5/24/2001,"$20,000 ","$20,000 ",5/24/2001,7/17/2001,2/8/2005,2005,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Library
