"","project.ZIP","PROJECT.NAME","AGENCY","project.CD","STATUS","artist.ZIP","project.START.date","FULL.1..amount","ART.contract..","art.contract.START","COMMUNITY.MEETING.date.s.","END.DATE","Hispanic..by.zip.code..2010","White..by.zip.code..2010","Black..by.zip.code..2010","Asian..by.zip.code..2010","Two.ore.more.races..by.zip.code..2010","American.Indian..by.zip.code..2010","Native.Hawaiin.or.Pacific.Islander...by.zip.code..2010","Age..25..by.zip.code..2010","Age.25.44..by.zip.code..2010","Age.45.64..by.zip.code..2010","Age..64..by.zip.code..2010","Median.Household.Income.2013.by.CD","X","X.1","median","pop"
"21",90012,"Downey Child Care Center","Rec+Parks","01","completed","90046","1/1/1999","$9,100","$7,600","1/1/1999","4/8/99","5/6/99","8,426","8,432","4,260","13,696","870","186",56,"7,550","13,066","6,800","4,355","38,673.58",NA,NA,"39,775","27,522"
"22",90012,"DWP Perimeter Picket Fence","DWP","01","completed","90063","1/1/1994","$99,500","$99,500","1/1/1994","","4/1/96","8,426","8,432","4,260","13,696","870","186",56,"7,550","13,066","6,800","4,355","38,673.58",NA,NA,"39,775","27,522"
"23",90012,"Police Academy | New Training Facility","Police","01","active","90042","5/15/2015","$156,097","$120,000","5/5/2014","11/12/15, 4/19/16","","8,426","8,432","4,260","13,696","870","186",56,"7,550","13,066","6,800","4,355","38,673.58",NA,NA,"39,775","27,522"
"24",90012,"Chinatown Branch Library [#1]","Library","01","completed","90065","2/6/2001","$20,000","$20,000","2/6/2001","4/26/01","3/12/03","8,426","8,432","4,260","13,696","870","186",56,"7,550","13,066","6,800","4,355","38,673.58",NA,NA,"39,775","27,522"
"25",90012,"North Broadway Sidehill Viaduct","BIP","01","completed","92870","8/22/2002","$22,000","$18,040","N/A","11/07/2002","","8,426","8,432","4,260","13,696","870","186",56,"7,550","13,066","6,800","4,355","38,673.58",NA,NA,"39,775","27,522"
"26",90012,"Chinatown Branch Library [#2]","Library","01","completed","91324","6/1/2005","$15,000","$15,000","6/1/2005","n/a","6/24/06","8,426","8,432","4,260","13,696","870","186",56,"7,550","13,066","6,800","4,355","38,673.58",NA,NA,"39,775","27,522"
"27",90012,"LADOT Bus Maintenance & CNG Facility","DOT","14","active","90292","4/22/2014","$172,000","$141,040","07/1/2014","01/05/2015","","8,426","8,432","4,260","13,696","870","186",56,"7,550","13,066","6,800","4,355","38,032.33",NA,NA,"39,775","27,522"
"28",90012,"Police Academy | Renovation","Police","01","active","91106","5/15/2015","$205,487","$120,000","5/5/2014","11/12/15, 4/19/16","","8,426","8,432","4,260","13,696","870","186",56,"7,550","13,066","6,800","4,355","38,673.58",NA,NA,"39,775","27,522"
"29",90012,"US-101 LA / Main Sts. Overcrossing Pedestrian Linkage | Ned Kahn","BIP","14","completed","95472","12/6/2007","$182,925","$149,999","12/6/2007","03/21/2008; 04/24/2008","12/5/10","8,426","8,432","4,260","13,696","870","186",56,"7,550","13,066","6,800","4,355","38,032.33",NA,NA,"39,775","27,522"
"30",90012,"US-101 LA / Main Sts. Overcrossing Pedestrian Linkage | Infranatural","BIP","14","completed","90026","12/6/2007","$303,047","$298,499","12/6/2007","03/21/2008; 04/24/2008","2/5/15","8,426","8,432","4,260","13,696","870","186",56,"7,550","13,066","6,800","4,355","38,032.33",NA,NA,"39,775","27,522"
"31",90012,"Emergency Operations Center | Artist-in-Residence","Police","14","in development","tbd","tbd","$107,317","$88,000","","","","8,426","8,432","4,260","13,696","873","186",56,"7,550","13,066","6,800","4,355","38,032.33",NA,NA,"39,775","27,522"
"32",90012,"Metropolitan Communications Dispatch Center","Police","14","completed","90066","7/15/1998","$150,000","$115,500","9/1/1998","5/18/99, 5/27/99","7/25/02","8,426","8,432","4,260","13,696","870","186",56,"7,550","13,066","6,800","4,355","38,032.33",NA,NA,"39,775","27,522"
"33",90012,"Little Tokyo Branch Library [#1]","Library","14","completed","90034","10/9/2001","$20,000","$20,000","10/9/2001","10/27/01; 3/2/02","6/28/05","8,426","8,432","4,260","13,696","870","186",56,"7,550","13,066","6,800","4,355","38,032.33",NA,NA,"39,775","27,522"
"34",90012,"Metro Detention Center | Site-Specific Artwork","Police","14","completed","10011","3/30/2004","$241,315","$213,830","3/30/2004","","2/26/09","8,426","8,432","4,260","13,696","870","186",56,"7,550","13,066","6,800","4,355","38,032.33",NA,NA,"39,775","27,522"
"35",90012,"Little Tokyo Branch Library [#2]","Library","14","completed","90013","10/1/2004","$15,000","$15,000","10/1/2004","n/a","8/31/05","8,426","8,432","4,260","13,696","870","186",56,"7,550","13,066","6,800","4,355","38,032.33",NA,NA,"39,775","27,522"
"36",90012,"Aiso Street Parking","Police","14","completed","90031","11/2/2005","$300,000","$250,000","11/2/2005","6/13/07","","8,426","8,432","4,260","13,696","870","186",56,"7,550","13,066","6,800","4,355","38,032.33",NA,NA,"39,775","27,522"
"37",90012,"Police Administration Building | Spring Street Sculptures","Police","14","completed","90291","6/18/2007","$609,756","$500,000","6/18/2007","11/19/2007, 12/05/2007, 12/12/2007","11/2/09","8,426","8,432","4,260","13,696","870","186",56,"7,550","13,066","6,800","4,355","38,032.33",NA,NA,"39,775","27,522"
"38",90012,"Police Administration Building | Auditorium Façade Treatment","Police","14","completed","94110","6/18/2007","$609,756","$500,000","6/18/2007","","","8,426","8,432","4,260","13,696","870","186",56,"7,550","13,066","6,800","4,355","38,032.33",NA,NA,"39,775","27,522"
"39",90012,"Emergency Operations Center | Site-Specific Artwork","Police","14","in development","tbd","tbd","$213,414","$175,000","","","","8,426","8,432","4,260","13,696","872","186",56,"7,550","13,066","6,800","4,355","38,032.33",NA,NA,"39,775","27,522"
"40",90012,"Metro Detention Center | TBD","Police","14","in development","tbd","tbd","$510,503","$418,613","","","","8,426","8,432","4,260","13,696","874","186",56,"7,550","13,066","6,800","4,355","38,032.33",NA,NA,"39,775","27,522"
"41",90012,"Emergency Operations Center | Curated Exhibition","Police","14","in development","tbd","tbd","$365,854","$300,000","","","","8,426","8,432","4,260","13,696","871","186",56,"7,550","13,066","6,800","4,355","38,032.33",NA,NA,"39,775","27,522"
"42",90013,"LAPD Scientific Investigation Division | Technical Lab","Police","14","completed","90013","7/17/2012","$42,960","$35,500","8/15/2012","","6/22/15","2,409","4,386","3,810","1,835","509","168",17,"1,217","5,130","4,319","1,463","38,032.33",NA,NA,"17,628","11,772"
"43",90013,"Metro Transport Division / Main Street Parking [MTD/MSP]","Police","14","in development","tbd","tbd","$343,984","$282,067","","","","2,409","4,386","3,810","1,835","509","168",17,"1,217","5,130","4,319","1,464","38,032.33",NA,NA,"17,628","11,772"
"44",90016,"King Boulevard Gateway","BOE","10","completed","90013","10/25/2011","$160,512","$150,000","10/25/2011","12/9/2011","7/11/14","25,462","11,653","17,829","1,473","2,375","429",54,"17,324","16,059","11,210","4,770","38,673.58",NA,NA,"37,223","47,596"
"45",90016,"Wilt Chamberlain Memorial Plaque","Rec+Parks","10","completed","90069","8/1/2001","$26,450","$23,000","8/1/2001","N/A","7/23/02","25,462","11,653","17,829","1,473","2,375","429",54,"17,324","16,059","11,210","4,768","38,673.58",NA,NA,"37,223","47,596"
"46",90016,"Air Treatment Facility | NCOS 6000 Jefferson","BOE","10","completed","90026","6/21/2005","$69,000","$56,580","6/21/2005","12/7/07","11/16/10","25,462","11,653","17,829","1,473","2,375","429",54,"17,324","16,059","11,210","4,769","38,673.58",NA,NA,"37,223","47,596"
"47",90016,"Washington Irving Branch Library","Library","10","completed","90221","6/1/1993","$23,000","$23,000","6/1/1993","","4/12/01","25,462","11,653","17,829","1,473","2,375","429",54,"17,324","16,059","11,210","4,767","38,673.58",NA,NA,"37,223","47,596"
"48",90017,"Rampart Police Station | Mural","Police","10","in development","tbd","tbd","$91,708","$75,200","","","","16,526","8,266","1,430","3,225","1,291","481",24,"9,377","9,297","3,916","1,743","38,673.58",NA,NA,"20,956","23,768"
"49",90017,"Rampart Police Station | Curated Exhibition","Police","10","in development","tbd","tbd","$195,121","$160,000","","","","16,526","8,266","1,430","3,225","1,291","481",24,"9,377","9,297","3,916","1,743","38,673.58",NA,NA,"20,956","23,768"
"50",90018,"South LA Care and Control Center","Animal Services","10","completed","90058","9/1/1998","$40,000","$33,000","9/1/1998","3/15/1999","4/18/01","29,312","12,825","15,663","1,821","2,326","471",65,"18,265","16,375","11,265","5,154","38,673.58",NA,NA,"33,137","49,310"
"51",90018,"Jefferson Branch Library","Library","10","completed","91602","11/1/1998","$20,000","$20,000","4/1/1999","10/04/99","7/10/03","29,312","12,825","15,663","1,821","2,326","471",65,"18,265","16,375","11,265","5,154","38,673.58",NA,NA,"33,137","49,310"
"52",90019,"Wilshire Police Station","Police","10","completed","90019","9/16/1994","$150,000","$150,000","11/1/1995","","3/31/99","29,701","19,321","15,249","10,149","3,108","577",59,"20,339","23,532","15,899","7,087","38,673.58",NA,NA,"42,615","64,458"
"53",90019,"Baldwin Hills Branch Library","Library","10","completed","91602","5/6/1999","$20,000","$20,000","5/6/1999","12/6/99","4/23/02","29,701","19,321","15,249","10,149","3,108","577",59,"20,339","23,532","15,899","7,089","38,673.58",NA,NA,"42,615","64,458"
"54",90019,"Memorial Branch Library","Library","04","completed","90042","10/1/1994","$19,000","$19,000","10/1/1994","5/15/95","4/1/96","29,701","19,321","15,249","10,149","3,108","577",59,"20,339","23,532","15,899","7,088","58,888.16",NA,NA,"42,615","64,458"
"55",90023,"Sixth Street Viaduct","BIP","14","active","90027","7/25/2012","$1,650,000","$1,353,000","12/15/15","","","44,854","22,777","308","273","1,455","560",32,"20,465","15,086","8,077","3,562","38,032.33",NA,NA,"33,812","45,903"
"56",90023,"Stevenson Branch Library","Library","14","completed","90028","10/1/1994","$13,500","$13,500","10/1/1994","05/06/96","12/1/96","44,854","22,777","308","273","1,455","560",32,"20,465","15,086","8,075","3,562","38,032.33",NA,NA,"33,812","45,903"
