"","project.ZIP","PROJECT.NAME","AGENCY","project.CD","STATUS","artist.ZIP","project.START.date","FULL.1..amount","ART.contract..","art.contract.START","COMMUNITY.MEETING.date.s.","END.DATE","Hispanic..by.zip.code..2010","White..by.zip.code..2010","Black..by.zip.code..2010","Asian..by.zip.code..2010","Two.ore.more.races..by.zip.code..2010","American.Indian..by.zip.code..2010","Native.Hawaiin.or.Pacific.Islander...by.zip.code..2010","Age..25..by.zip.code..2010","Age.25.44..by.zip.code..2010","Age.45.64..by.zip.code..2010","Age..64..by.zip.code..2010","Median.Household.Income.2013.by.CD","X","X.1","median","pop"
"181",91304,"Topanga Police Station | Youth Apprenticeship in Public Art [YAPA]","Police","03","in development","tbd","tbd","$89,948","$73,758","","","","20,160","28,866","2,557","6,757","2,558","304",73,"17,473","16,119","12,789","5,769","65,860.47",NA,NA,"66,044","50,230"
"182",91304,"Topanga Police Station | Site-Specific Artwork","Police","03","completed","10012","10/9/2003","$238,803","$195,800","10/9/2003","1/6/4","4/18/08","28,866","20,160","6,757","2,558","2,557","304",73,"17,473","16,119","12,789","5,769","65,860.47",NA,NA,"66,044","50,230"
"183",91306,"Winnetka St. Bridge over LA River","BIP","03","completed","90039","9/22/2003","$8,400","$6,000","N/A","04/26/2007","","21,370","22,146","2,083","8,048","2,395","263",55,"15,469","15,384","11,289","4,580","65,860.47",NA,NA,"55,041","45,061"
"184",91306,"Vanowen St. Bridge over LA River","BIP","03","completed","90039","9/22/2003","$34,000","$6,000","N/A","04/26/2007","","21,370","22,146","2,083","8,048","2,395","263",55,"15,469","15,384","11,289","4,580","65,860.47",NA,NA,"55,041","45,061"
"185",91306,"Winnetka Child Care Center","Rec+Parks","03","completed","92870","9/21/2001","$9,100","$8,500","9/21/2001","01/09/02","11/19/03","21,370","22,146","2,083","8,048","2,395","263",55,"15,469","15,384","11,289","4,580","65,860.47",NA,NA,"55,041","45,061"
"186",91306,"Aliso Creek Bridges","BIP","03","completed","90065","7/15/2002","$18,360","$15,055","N/A","09/25/2002; 02/24/2003; 05/05/2003","7/14/05","21,370","22,146","2,083","8,048","2,395","263",55,"15,469","15,384","11,289","4,580","65,860.47",NA,NA,"55,041","45,061"
"187",91307,"Platt Branch Library","Library","03","completed","90302","10/1/1994","$27,500","$27,500","10/1/1994","n/a","6/1/95","3,323","18,338","712","3,168","1,129","66",15,"7,472","6,521","7,633","4,000","65,860.47",NA,NA,"90,523","24,474"
"188",91311,"Chatsworth Branch Library [#1]","Library","12","completed","90808","1/19/2001","$20,000","$20,000","","04/02/01","5/24/06","7,934","24,118","1,540","6,036","1,705","208",58,"10,222","10,812","11,510","5,634","66,792.32",NA,NA,"79,446","35,104"
"189",91311,"Chatsworth Branch Library [#2]","Library","12","completed","91304","6/1/2004","$83,000","$83,000","6/1/2004","n/a","2/15/06","7,934","24,118","1,540","6,036","1,705","208",58,"10,222","10,812","11,510","5,634","66,792.32",NA,NA,"79,446","35,104"
"190",91311,"Mason Childcare Center","Rec+Parks","12","completed","91107","11/18/2003","$15,000","$15,000","11/18/2003","3/10/2004","10/4/05","7,934","24,118","1,540","6,036","1,705","208",58,"10,222","10,812","11,510","5,634","66,792.32",NA,NA,"79,446","35,104"
"191",91311,"West Valley Animal Care & Services Center","Animal Services","12","completed","92371","11/4/2002","$123,000","$100,860","11/4/2002","4/9/3","2/8/07","7,934","24,118","1,540","6,036","1,705","208",58,"10,222","10,812","11,510","5,634","66,792.32",NA,NA,"79,446","35,104"
"192",91311,"Chatsworth Metrolink Station","DOT","12","completed","90291","10/1/1994","$40,000","$40,000","6/1/1995","","6/18/97","7,934","24,118","1,540","6,036","1,705","208",58,"10,222","10,812","11,510","5,634","66,792.32",NA,NA,"79,446","35,104"
"193",91324,"Northridge Metrolink Station","DOT","12","completed","92870","10/22/1997","$26,000","$22,400","9/1/1997","7/16/98","6/28/00","10,010","15,437","1,348","4,879","1,345","130",43,"9,542","8,500","6,966","3,662","66,792.32",NA,NA,"63,563","27,669"
"194",91325,"Northridge Branch Library","Library","12","completed","90031","2/13/2001","$20,000","$20,000","2/13/2001","04/09/01","12/30/03","10,429","18,721","1,849","5,480","1,684","185",82,"11,335","9,928","8,049","4,219","66,792.32",NA,NA,"63,607","32,417"
"195",91326,"Porter Branch Library","Library","12","completed","90025","6/1/1996","$27,500","$18,000","6/1/1996","5/8/96","7/6/99","4,504","19,782","1,172","9,994","1,365","66",30,"10,079","9,188","10,569","5,221","66,792.32",NA,NA,"110,833","33,708"
"196",91331,"Laurel Canyon Blvd. Bridge over Tujunga Wash","BIP","06","completed","91107","2/13/2003","$7,150","$5,860","N/A","06/17/2002","","7,934","24,118","1,540","6,036","1,705","208",58,"10,222","10,812","11,510","5,634","47,493.67",NA,NA,"48,272","103,689"
"197",91331,"San Fernando Bike Path (Phase 3)","BIP","06","completed","90405","","$15,760","$15,760","2/25/2009","10/11/2011","","7,934","24,118","1,540","6,036","1,705","208",58,"10,222","10,812","11,510","5,634","47,493.67",NA,NA,"48,272","103,689"
"198",91331,"Pacoima Branch Library","Library","07","completed","90004","11/1/1998","$20,000","$20,000","11/1/1998","6/1/99","2/28/02","7,934","24,118","1,540","6,036","1,705","208",58,"10,222","10,812","11,510","5,634","53,662.43",NA,NA,"48,272","103,689"
"199",91331,"Pacoima Neighborhood City Hall","BOE","07","completed","91202","8/25/2006","$104,940","$70,500","8/28/2006","9/18/08","5/20/11","7,934","24,118","1,540","6,036","1,705","208",58,"10,222","10,812","11,510","5,634","53,662.43",NA,NA,"48,272","103,689"
"200",91335,"West Valley Police Station | Youth Apprenticeship in Public Art [YAPA]","Police","03","in development","tbd","tbd","$89,948","$73,758","","","","37,606","39,990","3,029","9,201","3,895","494",90,"25,595","25,038","18,320","8,227","65,860.47",NA,NA,"54,149","74,363"
"201",91335,"West Valley Branch Library","Library","03","completed","90066","10/12/2000","$20,000","$20,000","10/12/2000","1/11/00","7/23/02","37,606","39,990","3,029","9,201","3,895","494",90,"25,595","25,038","18,320","8,227","65,860.47",NA,NA,"54,149","74,363"
"202",91335,"Reseda Pool","Rec+Parks","03","completed","90042","12/14/2010","$22,040","$18,140","2/15/2011","8/23/11","5/30/12","37,606","39,990","3,029","9,201","3,895","494",90,"25,595","25,038","18,320","8,227","65,860.47",NA,NA,"54,149","74,363"
"203",91335,"Tampa Ave. Bridge over LA River","BIP","03","completed","90039","9/22/2003","$43,000","$6,000","N/A","03/20/2006","","37,606","39,990","3,029","9,201","3,895","494",90,"25,595","25,038","18,320","8,227","65,860.47",NA,NA,"54,149","74,363"
"204",91335,"West Valley Police Station","Police","03","completed","90405","7/15/2003","$175,000","$100,450","7/15/2003","12/17/03","3/16/05","37,606","39,990","3,029","9,201","3,895","494",90,"25,595","25,038","18,320","8,227","65,860.47",NA,NA,"54,149","74,363"
"205",91340,"San Fernando Bike Path | Phase 2","BIP","07","completed","90046","7/25/2002","$4,500","$4,500","N/A","N/A","","31,452","16,998","669","387","1,314","444",35,"14,146","11,302","7,009","2,766","53,662.43",NA,NA,"38,768","27,044"
"206",91342,"Sylmar Branch Library","Library","07","completed","97031","1/17/2001","$20,000","$20,000","1/17/2001","04/18/01","9/10/03","68,444","45,803","4,570","5,091","3,767","968",74,"36,433","29,776","20,709","7,944","53,662.43",NA,NA,"64,483","91,715"
"207",91342,"Sylmar/San Fernando Metrolink Station`","DOT","*07","completed","14213","10/1/1994","$25,000","$25,000","6/1/1995","","7/28/98","68,444","45,803","4,570","5,091","3,767","968",74,"36,433","29,776","20,709","7,944","44,302.32",NA,NA,"64,483","91,715"
"208",91343,"Northridge Fire Station No. 87","Fire","12","completed","10012","7/30/2003","$58,434","$50,000","7/30/2003","2/12/04","","35,438","28,519","2,641","8,563","2,743","420",109,"23,383","20,156","13,385","5,463","66,792.32",NA,NA,"53,646","60,254"
"209",91343,"Sepulveda Park West","Rec+Parks","06","completed","90086","4/20/2001","$15,000","$13,000","4/20/2001","06/28/01","9/4/02","35,438","28,519","2,641","8,563","2,743","420",109,"23,383","20,156","13,385","5,463","47,493.67",NA,NA,"53,646","60,254"
"210",91343,"Mid-Valley Branch Regional Branch Library","Library","12","completed","94805","2/1/1995","$27,500","$27,500","2/1/1995","4/5/95","9/1/95","35,438","28,519","2,641","8,563","2,743","420",109,"23,383","20,156","13,385","5,463","66,792.32",NA,NA,"53,646","60,254"
"211",91344,"Granada Hills Community Center","Rec+Parks","12","completed","90039","2/1/1998","$21,000","$17,000","2/1/1998","3/8/98, 1/13/99","6/19/01","14,841","32,636","1,797","9,081","2,358","267",52,"16,032","15,084","15,212","7,651","66,792.32",NA,NA,"78,168","51,743"
"212",91345,"Valley Traffic Division / Bureau Headquarters","Police","06","completed","90025","10/21/2003","$184,302","$151,200","10/21/2003","1/14/4","7/8/09","12,329","9,981","673","1,750","805","190",40,"6,538","5,703","4,398","2,532","47,493.67",NA,NA,"63,806","18,496"
"213",91345,"Mission Hills Police Station [#2]","Police","07","completed","90026","11/7/2003","$50,000","$50,000","11/7/2003","10/26/4, 02/14/05, 02/07/06","8/17/07","12,329","9,981","673","1,750","805","190",40,"6,538","5,703","4,398","2,532","53,662.43",NA,NA,"63,806","18,496"
"214",91345,"Mission Hills Police Station [#1]","Police","07","completed","90042","1/29/2001","$107,500","$87,125","1/29/2001","5/7/01","3/29/05","12,329","9,981","673","1,750","805","190",40,"6,538","5,703","4,398","2,532","53,662.43",NA,NA,"63,806","18,496"
"215",91345,"Northeast Valley Animal Care & Services Center","Animal Services","07","completed","90230","7/10/2003","$113,800","$93,300","7/10/2003","10/11/5","4/18/07","12,329","9,981","673","1,750","805","190",40,"6,538","5,703","4,398","2,532","53,662.43",NA,NA,"63,806","18,496"
"216",91352,"Glenoaks Blvd. Bridge over Tujunga Wash","BIP","06","completed","90056","9/22/2003","$11,702","$10,000","N/A","03/22/2005","2/1/09","35,314","24,825","861","3,034","1,917","401",89,"18,729","15,495","10,944","4,310","47,493.67",NA,NA,"47,544","47,807"
"217",91352,"Truesdale Recycling & Disposal Center","DWP","06","completed","90031","10/1/1994","$25,000","$25,000","10/1/1994","","5/1/96","35,314","24,825","861","3,034","1,917","401",89,"18,729","15,495","10,944","4,310","47,493.67",NA,NA,"47,544","47,807"
"218",91352,"Sun Valley Metrolink Station","DOT","06","completed","90039","10/1/1998","$5,000","$5,000","10/1/1998","N/A","1/14/02","35,314","24,825","861","3,034","1,917","401",89,"18,729","15,495","10,944","4,310","47,493.67",NA,NA,"47,544","47,807"
"219",91352,"East Valley Solid Resources [#2]","Public Works","06","completed","90802","2/1/2000","$178,000","$73,000","7/21/2000","11/06/00","11/26/03","35,314","24,825","861","3,034","1,917","401",89,"18,729","15,495","10,944","4,310","47,493.67",NA,NA,"47,544","47,807"
"220",91352,"East Valley Solid Resources [#1]","Public Works","06","completed","90042","2/1/2000","$178,000","$73,000","7/21/2000","11/06/00","6/9/04","35,314","24,825","861","3,034","1,917","401",89,"18,729","15,495","10,944","4,310","47,493.67",NA,NA,"47,544","47,807"
"221",91352,"Sun Valley Fire Station No. 77","Fire","07","completed","85387","7/31/2002","$56,000","$57,000","7/31/2002","8/10/04","","35,314","24,825","861","3,034","1,917","401",89,"18,729","15,495","10,944","4,310","53,662.43",NA,NA,"47,544","47,807"
"222",91352,"Sun Valley Branch Library","Library","06","completed","90045","6/29/2000","$20,000","$20,000","6/29/1999","8/28/00","5/20/03","35,314","24,825","861","3,034","1,917","401",89,"18,729","15,495","10,944","4,310","47,493.67",NA,NA,"47,544","47,807"
"223",91356,"Tarzana Child Care Center","Rec+Parks","03","completed","90031","9/1/1997","$9,100","$7,600","9/1/1997","2/11/98","8/31/00","4,089","22,804","1,267","1,908","1,534","77",46,"8,348","8,875","8,476","4,928","65,860.47",NA,NA,"85,626","29,458"
"224",91356,"Encino Tarzana Branch Library","Library","03","completed","90026","1/24/2001","$20,000","$20,000","1/24/2001","05/09/01","3/12/03","4,089","22,804","1,267","1,908","1,534","77",46,"8,348","8,875","8,476","4,928","65,860.47",NA,NA,"85,626","29,458"
"225",91367,"Woodland Hills Branch Library","Library","03","completed","90036","9/26/2000","$20,000","$20,000","9/26/2000","12/5/00","","4,375","29,153","1,824","4,882","1,979","152",56,"10,315","13,168","11,020","6,517","65,860.47",NA,NA,"86,957","39,499"
"226",91367,"Corbin and Mason Ave. Bridges","BIP","12","completed","90230","7/22/2002","$12,300","$12,300","N/A","9/25/2002","","4,375","29,153","1,824","4,882","1,979","152",56,"10,315","13,168","11,020","6,517","66,792.32",NA,NA,"86,957","39,499"
"227",91367,"Woodland Hills Fire Station No. 84","Fire","03","completed","90045","1/15/2008","$56,000","$48,000","1/15/2008","n/a","9/14/09","4,375","29,153","1,824","4,882","1,979","152",56,"10,315","13,168","11,020","6,517","65,860.47",NA,NA,"86,957","39,499"
"228",91367,"Woodland Hills Recreation Center","Rec+Parks","03","active","91202","4/2/2014","$95,000","$75,000","4/2/14","8/6/2015","","4,375","29,153","1,824","4,882","1,979","152",56,"10,315","13,168","11,020","6,517","65,860.47",NA,NA,"86,957","39,499"
"229",91367,"Warner Streetscape & Transit Hub","DOT","03","completed","91406","2/29/2000","$30,000","$46,378","6/19/2000","09/17/02","7/8/05","4,375","29,153","1,824","4,882","1,979","152",56,"10,315","13,168","11,020","6,517","65,860.47",NA,NA,"86,957","39,499"
"230",91401,"Van Nuys Flyaway","LAWA","06","completed","90013","4/17/2006","$217,000","$217,000","4/19/2006","4/4/06","5/27/09","16,675","25,645","1,864","2,135","1,763","290",31,"12,568","14,111","10,114","3,990","47,493.67",NA,NA,"49,559","39,285"
